movie_title,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,genres,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Avatar ,723,178,0,855,1000,760505847,Action|Adventure|Fantasy|Sci-Fi,886204,4834,0,3054,USA,PG-13,237000000,2009,936,7.9,1.78,33000
Pirates of the Caribbean: At World's End ,302,169,563,1000,40000,309404152,Action|Adventure|Fantasy,471220,48350,0,1238,USA,PG-13,300000000,2007,5000,7.1,2.35,0
Spectre ,602,148,0,161,11000,200074175,Action|Adventure|Thriller,275868,11700,1,994,UK,PG-13,245000000,2015,393,6.8,2.35,85000
The Dark Knight Rises ,813,164,22000,23000,27000,448130642,Action|Thriller,1144337,106759,0,2701,USA,PG-13,250000000,2012,23000,8.5,2.35,164000
Star Wars: Episode VII - The Force Awakens ,,,131,,131,,Documentary,8,143,0,,,,,,12,7.1,,0
John Carter ,462,132,475,530,640,73058679,Action|Adventure|Sci-Fi,212204,1873,1,738,USA,PG-13,263700000,2012,632,6.6,2.35,24000
Spider-Man 3 ,392,156,0,4000,24000,336530303,Action|Adventure|Romance,383056,46055,0,1902,USA,PG-13,258000000,2007,11000,6.2,2.35,0
Tangled ,324,100,15,284,799,200807262,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,294810,2036,1,387,USA,PG,260000000,2010,553,7.8,1.85,29000
Avengers: Age of Ultron ,635,141,0,19000,26000,458991599,Action|Adventure|Sci-Fi,462669,92000,4,1117,USA,PG-13,250000000,2015,21000,7.5,2.35,118000
Harry Potter and the Half-Blood Prince ,375,153,282,10000,25000,301956980,Adventure|Family|Fantasy|Mystery,321795,58753,3,973,UK,PG,250000000,2009,11000,7.5,2.35,10000
Batman v Superman: Dawn of Justice ,673,183,0,2000,15000,330249062,Action|Adventure|Sci-Fi,371639,24450,0,3018,USA,PG-13,250000000,2016,4000,6.9,2.35,197000
Superman Returns ,434,169,0,903,18000,200069408,Action|Adventure|Sci-Fi,240396,29991,0,2367,USA,PG-13,209000000,2006,10000,6.1,2.35,0
Quantum of Solace ,403,106,395,393,451,168368427,Action|Adventure,330784,2023,1,1243,UK,PG-13,200000000,2008,412,6.7,2.35,0
Pirates of the Caribbean: Dead Man's Chest ,313,151,563,1000,40000,423032628,Action|Adventure|Fantasy,522040,48486,2,1832,USA,PG-13,225000000,2006,5000,7.3,2.35,5000
The Lone Ranger ,450,150,563,1000,40000,89289910,Action|Adventure|Western,181792,45757,1,711,USA,PG-13,215000000,2013,2000,6.5,2.35,48000
Man of Steel ,733,143,0,748,15000,291021565,Action|Adventure|Fantasy|Sci-Fi,548573,20495,0,2536,USA,PG-13,225000000,2013,3000,7.2,2.35,118000
The Chronicles of Narnia: Prince Caspian ,258,150,80,201,22000,141614023,Action|Adventure|Family|Fantasy,149922,22697,4,438,USA,PG,225000000,2008,216,6.6,2.35,0
The Avengers ,703,173,0,19000,26000,623279547,Action|Adventure|Sci-Fi,995415,87697,3,1722,USA,PG-13,220000000,2012,21000,8.1,1.85,123000
Pirates of the Caribbean: On Stranger Tides ,448,136,252,1000,40000,241063875,Action|Adventure|Fantasy,370704,54083,4,484,USA,PG-13,250000000,2011,11000,6.7,2.35,58000
Men in Black 3 ,451,106,188,718,10000,179020854,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,268154,12572,1,341,USA,PG-13,225000000,2012,816,6.8,1.85,40000
The Hobbit: The Battle of the Five Armies ,422,164,0,773,5000,255108370,Adventure|Fantasy,354228,9152,0,802,New Zealand,PG-13,250000000,2014,972,7.5,2.35,65000
The Amazing Spider-Man ,599,153,464,963,15000,262030663,Action|Adventure|Fantasy,451803,28489,0,1225,USA,PG-13,230000000,2012,10000,7,2.35,56000
Robin Hood ,343,156,0,738,891,105219735,Action|Adventure|Drama|History,211765,3244,0,546,USA,PG-13,200000000,2010,882,6.7,2.35,17000
The Hobbit: The Desolation of Smaug ,509,186,0,773,5000,258355354,Adventure|Fantasy,483540,9152,6,951,USA,PG-13,225000000,2013,972,7.9,2.35,83000
The Golden Compass ,251,113,129,1000,16000,70083519,Adventure|Family|Fantasy,149019,24106,2,666,USA,PG-13,180000000,2007,6000,6.1,2.35,0
King Kong ,446,201,0,84,6000,218051260,Action|Adventure|Drama|Romance,316018,7123,0,2618,New Zealand,PG-13,207000000,2005,919,7.2,2.35,0
Titanic ,315,194,0,794,29000,658672302,Drama|Romance,793059,45223,0,2528,USA,PG-13,200000000,1997,14000,7.7,2.35,26000
Captain America: Civil War ,516,147,94,11000,21000,407197282,Action|Adventure|Sci-Fi,272670,64798,0,1022,USA,PG-13,250000000,2016,19000,8.2,2.35,72000
Battleship ,377,131,532,627,14000,65173160,Action|Adventure|Sci-Fi|Thriller,202382,26679,0,751,USA,PG-13,209000000,2012,10000,5.9,2.35,44000
Jurassic World ,644,124,365,1000,3000,652177271,Action|Adventure|Sci-Fi|Thriller,418214,8458,0,1290,USA,PG-13,150000000,2015,2000,7,2,150000
Skyfall ,750,143,0,393,883,304360277,Action|Adventure|Thriller,522030,2039,0,1498,UK,PG-13,200000000,2012,563,7.8,2.35,80000
Spider-Man 2 ,300,135,0,4000,24000,373377893,Action|Adventure|Fantasy|Romance,411164,43388,1,1303,USA,PG-13,200000000,2004,11000,7.3,2.35,0
Iron Man 3 ,608,195,1000,3000,21000,408992272,Action|Adventure|Sci-Fi,557489,30426,3,1187,USA,PG-13,200000000,2013,4000,7.2,2.35,95000
Alice in Wonderland ,451,108,13000,11000,40000,334185206,Adventure|Family|Fantasy,306320,79957,0,736,USA,PG,200000000,2010,25000,6.5,1.85,24000
X-Men: The Last Stand ,334,104,420,560,20000,234360014,Action|Adventure|Fantasy|Sci-Fi|Thriller,383427,21714,0,1912,Canada,PG-13,210000000,2006,808,6.8,2.35,0
Monsters University ,376,104,37,760,12000,268488329,Adventure|Animation|Comedy|Family|Fantasy,235025,14863,0,265,USA,G,200000000,2013,779,7.3,1.85,44000
Transformers: Revenge of the Fallen ,366,150,0,464,894,402076689,Action|Adventure|Sci-Fi,323207,3218,0,1439,USA,PG-13,200000000,2009,581,6,2.35,0
Transformers: Age of Extinction ,378,165,0,808,974,245428137,Action|Adventure|Sci-Fi,242420,3988,2,918,USA,PG-13,210000000,2014,956,5.7,2.35,56000
Oz the Great and Powerful ,525,130,0,11000,44000,234903076,Adventure|Family|Fantasy,175409,73441,4,511,USA,PG,215000000,2013,15000,6.4,2.35,60000
The Amazing Spider-Man 2 ,495,142,464,825,15000,202853933,Action|Adventure|Fantasy|Sci-Fi,321227,28631,0,1067,USA,PG-13,200000000,2014,10000,6.7,2.35,41000
TRON: Legacy ,469,125,364,1000,12000,172051787,Action|Adventure|Sci-Fi,264183,25550,0,665,USA,PG,170000000,2010,10000,6.8,2.35,30000
Cars 2 ,304,106,487,776,1000,191450875,Adventure|Animation|Comedy|Family|Sport,101178,4482,0,283,USA,G,200000000,2011,919,6.3,2.35,10000
