,movie_title,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,movie_facebook_likes,Romance,Adventure,History,Fantasy,Horror,Sci-Fi,Comedy,Action,Sport,Music,Animation,War,Drama,Musical,Western,Documentary,Biography,Family,Thriller,Mystery,Crime
0,Avatar ,0.8891625615763546,0.4812286689419795,0.0,0.03717391304347826,0.0015625,1.0,0.5244481110133973,0.007360711403468701,0.0,0.6543077582511787,1.0,0.4,0.7899992299971766,0.9125,0.006832116788321168,0.8181818181818181,0.09455587392550144,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Pirates of the Caribbean: At World's End ,0.3706896551724138,0.45051194539249145,0.024478260869565217,0.043478260869565216,0.0625,0.40683939016196846,0.27885795582994327,0.07362234099249311,0.0,0.26510930132876126,1.0,0.4,1.0,0.8875,0.0364963503649635,0.7142857142857142,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Spectre ,0.7401477832512315,0.378839590443686,0.0,0.007,0.0171875,0.26307970903087013,0.16324740700059537,0.017815540633136905,0.023255813953488372,0.21281611658808403,0.0,0.4,0.8166659944419796,0.9875,0.0028686131386861315,0.6753246753246751,0.24355300859598855,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,The Dark Knight Rises ,1.0,0.4334470989761092,0.9565217391304348,1.0,0.0421875,0.5892530018179601,0.6772128526130025,0.16256147884214212,0.0,0.5786540934419203,1.0,0.4,0.8333327222199814,0.95,0.1678832116788321,0.8961038961038961,0.4699140401146132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4,John Carter ,0.5677339901477833,0.3242320819112628,0.020652173913043477,0.023043478260869565,0.001,0.09606506488008712,0.1255706492470448,0.0028520091970825148,0.023255813953488372,0.1579511358765538,1.0,0.4,0.8789995563317066,0.95,0.004613138686131387,0.6493506493506492,0.06876790830945559,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Spider-Man 3 ,0.4815270935960591,0.4061433447098976,0.0,0.17391304347826086,0.0375,0.4425079865074522,0.2266819431605535,0.07012775417599318,0.0,0.4074153450492928,1.0,0.4,0.8599994866647844,0.8875,0.08029197080291971,0.5974025974025973,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Tangled ,0.3977832512315271,0.2150170648464164,0.0006521739130434783,0.012347826086956521,0.0012484375,0.2640436564884037,0.1744574023726699,0.0031002086093219437,0.023255813953488372,0.08272610372910416,1.0,0.2,0.8666661777759852,0.925,0.004036496350364963,0.805194805194805,0.0830945558739255,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7,Avengers: Age of Ultron ,0.7807881773399015,0.35494880546075086,0.0,0.8260869565217391,0.040625,0.6035342424981678,0.2737974199611538,0.14008801181611927,0.09302325581395349,0.23917702528932705,1.0,0.4,0.8333327222199814,0.9875,0.15328467153284672,0.7662337662337662,0.33810888252148996,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Harry Potter and the Half-Blood Prince ,0.4605911330049261,0.39590443686006827,0.012260869565217391,0.43478260869565216,0.0390625,0.397046988284408,0.1904272960014014,0.08946294519817885,0.06976744186046512,0.2083154736390913,0.0,0.2,0.8333327222199814,0.9125,0.08029197080291971,0.7662337662337662,0.02865329512893983,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
9,Batman v Superman: Dawn of Justice ,0.8275862068965517,0.49829351535836175,0.0,0.08695652173913043,0.0234375,0.4342486853711538,0.21992529036977243,0.0372299118359143,0.0,0.6465923703386198,1.0,0.4,0.8333327222199814,1.0,0.029197080291970802,0.6883116883116883,0.5644699140401146,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Superman Returns ,0.5332512315270936,0.45051194539249145,0.0,0.03926086956521739,0.028125,0.26307344082869216,0.14225485310775254,0.045667169156274265,0.0,0.5070724389198457,1.0,0.4,0.6966655544403663,0.875,0.072992700729927,0.5844155844155844,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
